hold_type,hold_value,threshold,stop_loss,profit_target,event_date,stock_ret,market_ret,excess_ret,n_trades,ticker
intraday,15,0.5,0.01,0.2,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,15,0.5,0.01,0.2,2025-04-24,-0.010000000000000009,0.00729900301838482,-0.01729900301838483,1,TMUS
intraday,15,0.5,0.03,0.01,2022-04-27,0.010000000000000009,7.190106413568209e-05,0.009928098935864327,1,TMUS
intraday,15,0.5,0.03,0.01,2023-02-01,0.010000000000000009,-0.00034796686170912583,0.010347966861709135,1,TMUS
intraday,15,0.5,0.03,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,0.5,0.03,0.01,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.03,0.01,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.03,0.03,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.03,0.03,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.03,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.03,0.03,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.03,0.03,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.03,0.05,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.03,0.05,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.03,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.03,0.05,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.03,0.05,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.03,0.1,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.03,0.1,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.03,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.03,0.1,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.03,0.1,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.03,0.2,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.03,0.2,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.03,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.03,0.2,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.03,0.2,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.05,0.01,2022-04-27,0.010000000000000009,7.190106413568209e-05,0.009928098935864327,1,TMUS
intraday,15,0.5,0.05,0.01,2023-02-01,0.010000000000000009,-0.00034796686170912583,0.010347966861709135,1,TMUS
intraday,15,0.5,0.05,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,0.5,0.05,0.01,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.05,0.01,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.05,0.03,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.05,0.03,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.05,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.05,0.03,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.05,0.03,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.05,0.05,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.05,0.05,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.05,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.05,0.05,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.05,0.05,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.05,0.1,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.05,0.1,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.05,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.05,0.1,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.05,0.1,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.05,0.2,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.05,0.2,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.05,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.05,0.2,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.05,0.2,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.1,0.01,2022-04-27,0.010000000000000009,7.190106413568209e-05,0.009928098935864327,1,TMUS
intraday,15,0.5,0.1,0.01,2023-02-01,0.010000000000000009,-0.00034796686170912583,0.010347966861709135,1,TMUS
intraday,15,0.5,0.1,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,0.5,0.1,0.01,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.1,0.01,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.1,0.03,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.1,0.03,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.1,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.1,0.03,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.1,0.03,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.1,0.05,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.1,0.05,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.1,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.1,0.05,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.1,0.05,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.1,0.1,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.1,0.1,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.1,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.1,0.1,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.1,0.1,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.1,0.2,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.1,0.2,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.1,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.1,0.2,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.1,0.2,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.2,0.01,2022-04-27,0.010000000000000009,7.190106413568209e-05,0.009928098935864327,1,TMUS
intraday,15,0.5,0.2,0.01,2023-02-01,0.010000000000000009,-0.00034796686170912583,0.010347966861709135,1,TMUS
intraday,15,0.5,0.2,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,0.5,0.2,0.01,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.2,0.01,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.2,0.03,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.2,0.03,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.2,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.2,0.03,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.2,0.03,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.2,0.05,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.2,0.05,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.2,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.2,0.05,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.2,0.05,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.2,0.1,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.2,0.1,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.2,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.2,0.1,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.2,0.1,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,0.5,0.2,0.2,2022-04-27,0.00798449612403107,7.190106413568209e-05,0.007912595059895389,1,TMUS
intraday,15,0.5,0.2,0.2,2023-02-01,0.004358028830036886,0.0014466537186799133,0.002911375111356973,1,TMUS
intraday,15,0.5,0.2,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,0.5,0.2,0.2,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,0.5,0.2,0.2,2025-04-24,-0.020789636027143787,0.00729900301838482,-0.028088639045528607,1,TMUS
intraday,15,1.0,0.01,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,1.0,0.01,0.01,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,15,1.0,0.01,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.01,0.03,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,15,1.0,0.01,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.01,0.05,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,15,1.0,0.01,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.01,0.1,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,15,1.0,0.01,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.01,0.2,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,15,1.0,0.03,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,1.0,0.03,0.01,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.03,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.03,0.03,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.03,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.03,0.05,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.03,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.03,0.1,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.03,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.03,0.2,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.05,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,1.0,0.05,0.01,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.05,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.05,0.03,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.05,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.05,0.05,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.05,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.05,0.1,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.05,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.05,0.2,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.1,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,1.0,0.1,0.01,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.1,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.1,0.03,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.1,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.1,0.05,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.1,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.1,0.1,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.1,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.1,0.2,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.2,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,1.0,0.2,0.01,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.2,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.2,0.03,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.2,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.2,0.05,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.2,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.2,0.1,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.0,0.2,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.0,0.2,0.2,2025-01-29,0.0009663865546218897,-0.00153216722984173,0.0024985537844636196,1,TMUS
intraday,15,1.5,0.01,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,1.5,0.01,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.01,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.01,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.01,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.03,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,1.5,0.03,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.03,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.03,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.03,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.05,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,1.5,0.05,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.05,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.05,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.05,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.1,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,1.5,0.1,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.1,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.1,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.1,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.2,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,15,1.5,0.2,0.03,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.2,0.05,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.2,0.1,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,15,1.5,0.2,0.2,2024-04-25,0.00577954503421485,0.00377209440110593,0.0020074506331089204,1,TMUS
intraday,30,0.5,0.01,0.01,2022-04-27,0.010000000000000009,7.190106413568209e-05,0.009928098935864327,1,TMUS
intraday,30,0.5,0.01,0.01,2023-02-01,0.010000000000000009,-0.00034796686170912583,0.010347966861709135,1,TMUS
intraday,30,0.5,0.01,0.01,2024-04-25,0.010000000000000009,0.00377209440110593,0.006227905598894079,1,TMUS
intraday,30,0.5,0.01,0.01,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,30,0.5,0.01,0.01,2025-04-24,-0.010000000000000009,0.00729900301838482,-0.01729900301838483,1,TMUS
intraday,30,0.5,0.01,0.03,2022-04-27,0.00705426356589145,7.190106413568209e-05,0.006982362501755768,1,TMUS
intraday,30,0.5,0.01,0.03,2023-02-01,0.009721756620851396,0.00012092465406898789,0.009600831966782408,1,TMUS
intraday,30,0.5,0.01,0.03,2024-04-25,0.01106590222550996,0.00377209440110593,0.0072938078244040305,1,TMUS
intraday,30,0.5,0.01,0.03,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,30,0.5,0.01,0.03,2025-04-24,-0.010000000000000009,0.00729900301838482,-0.01729900301838483,1,TMUS
intraday,30,0.5,0.01,0.05,2022-04-27,0.00705426356589145,7.190106413568209e-05,0.006982362501755768,1,TMUS
intraday,30,0.5,0.01,0.05,2023-02-01,0.009721756620851396,0.00012092465406898789,0.009600831966782408,1,TMUS
intraday,30,0.5,0.01,0.05,2024-04-25,0.01106590222550996,0.00377209440110593,0.0072938078244040305,1,TMUS
intraday,30,0.5,0.01,0.05,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,30,0.5,0.01,0.05,2025-04-24,-0.010000000000000009,0.00729900301838482,-0.01729900301838483,1,TMUS
intraday,30,0.5,0.01,0.1,2022-04-27,0.00705426356589145,7.190106413568209e-05,0.006982362501755768,1,TMUS
intraday,30,0.5,0.01,0.1,2023-02-01,0.009721756620851396,0.00012092465406898789,0.009600831966782408,1,TMUS
intraday,30,0.5,0.01,0.1,2024-04-25,0.01106590222550996,0.00377209440110593,0.0072938078244040305,1,TMUS
intraday,30,0.5,0.01,0.1,2025-01-29,-0.010000000000000009,-0.0007785065924601486,-0.00922149340753986,1,TMUS
intraday,30,0.5,0.01,0.1,2025-04-24,-0.010000000000000009,0.00729900301838482,-0.01729900301838483,1,TMUS
intraday,30,0.5,0.01,0.2,2022-04-27,0.00705426356589145,7.190106413568209e-05,0.006982362501755768,1,TMUS
